id	vin	make	model	year
976	WAUEKAFB3AN844212	Lexus	GX	2005
977	W04GX5GV0B1927998	Mazda	Tribute	2010
978	JN8AF5MR9CT493550	Mercedes-Benz	E-Class	2011
979	3VW217AU9FM302423	Chrysler	Town & Country	1999
980	WAUR2AFD6EN169853	Mazda	CX-9	2011
981	1GD422CG8EF937761	Buick	Park Avenue	1996
982	WVGEG9BP9CD608480	Mitsubishi	Galant	2009
983	2G4G15GVXB9906980	Pontiac	Trans Sport	1996
984	5GADV33W37D706968	Oldsmobile	Cutlass	1998
985	4T1BD1FK1EU856981	Saturn	VUE	2002
986	WBA3N5C51FK604489	BMW	X5	2005
987	1G6AR5S39F0305538	Chevrolet	Cruze	2012
988	1N6AF0KXXEN413239	Jaguar	XK Series	2013
989	WBABV13496J470204	Jaguar	XJ Series	1997
990	WAULC68E55A634040	Mercedes-Benz	300TE	1992
991	WAU2GAFC4CN086865	Infiniti	JX	2013
992	1FADP5AU2EL736929	Mitsubishi	Montero Sport	2000
993	WAUWFAFLXBA202290	Hyundai	Scoupe	1994
994	JH4CU256X9C653679	Oldsmobile	Aurora	1997
995	WAUKH94FX8N422843	Buick	Roadmaster	1995
996	WAUKF78P19A328632	Chevrolet	Express 2500	2008
997	WBALM7C57DE828442	Mitsubishi	GTO	1993
998	JN8AZ2NC7B9279846	Jeep	Liberty	2009
999	3VW4T7ATXEM343300	Buick	Regal	1992
1000	WAUBH78EX6A920972	Porsche	928	1986
